service,from_existing,from_nonuser,from_residual,residual_ratio,total_inflow,nonuser_ratio,novelty,BlueOceanScore,estimated_sales,arpu,eps,tau,nonuser_mass,D_nonuser,residual_mass
new5,8328725.205335965,640627.5805919388,498.15668996574374,5.553678574511024e-05,8969850.94261787,0.07142009211637694,0.22945751,0.0014765310254342254,10763821131.141445,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new6,3813289.6105582067,542769.3813730396,236.8440969277641,5.4368230680978095e-05,4356295.8360281745,0.12459424286205185,0.4355607,0.0023746450042918007,5227555003.233809,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new7,2364876.5266939434,615605.2105486996,294.862005260975,9.892120239248162e-05,2980776.5992479045,0.20652510849153413,0.35776564,0.002212257035187792,3576931919.0974855,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new8,3448782.7837011116,562051.6452405595,253.80720758080304,6.32763959898485e-05,4011088.236149252,0.1401244779845939,0.45153052,0.0025491652755710156,4813305883.379103,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new9,3339716.7892134557,546029.9875576023,230.90139699202416,5.9419125922739997e-05,3885977.67816805,0.14051289862658575,0.4041722,0.0022167545532427654,4663173213.80166,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new10,4104679.632978397,609494.5095142525,339.9240986347814,7.210161934685992e-05,4714514.066591284,0.1292804520052971,0.31940383,0.0019554403703709064,5657416879.909541,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new11,2873821.9936547973,650256.2643264232,367.11003965424777,0.00010416108105554085,3524445.368020874,0.18449889171968348,0.40825713,0.002666569965141633,4229334441.6250486,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new12,5282061.492147826,448289.5134522523,151.73039797416726,2.6477676560735672e-05,5730502.735998052,0.0782286535937193,0.33141217,0.0014923190777667847,6876603283.197662,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new13,2239088.636833179,620998.3999097956,297.70964267176134,0.00010408027907712216,2860384.746385646,0.21710310149516882,0.42460322,0.002648551560715602,3432461695.662775,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new14,9746746.846326556,534558.8244892702,312.1978223478348,3.0364659174907284e-05,10281617.868638173,0.051991703185140244,0.360698,0.0019367515784060778,12337941442.365807,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new15,2115587.2486876645,551029.0034743261,205.9929286975147,7.724284176672214e-05,2666822.245090688,0.20662382147468092,0.43818122,0.00242528557599508,3200186694.1088257,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new16,3821593.763056978,686708.6995570378,470.3760710235093,0.00010432463285524318,4508772.838685039,0.1523050116131628,0.28775883,0.0019848873672584913,5410527406.422048,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new17,2197544.2045685546,530769.7869523914,186.6312624042747,6.84006669618758e-05,2728500.6227833508,0.19452800652504587,0.50773376,0.002706929221397181,3274200747.340021,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new18,1882083.8820451254,515910.2013510106,163.98659714673073,6.838022864238888e-05,2398158.069993283,0.21512768812293329,0.5307901,0.0027506262635929616,2877789683.9919395,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new19,5116377.860618388,600353.1989092082,349.7734777379575,6.118043245403788e-05,5717080.833005334,0.10501044439380729,0.3752719,0.0022630154721638316,6860496999.606401,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new0,7675286.256920576,1138013.7361617072,1404.0714562239248,0.00015928741860688148,8814704.064538507,0.12910402071692104,0.54768103,0.006260512242876366,10577644877.446209,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new1,6795764.894874086,1358078.6398163536,2219.323934111588,0.00027210726211664556,8156062.8586245505,0.1665115464847437,0.41972306,0.005725618618741282,12234094287.936827,1500,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new2,8438804.104386715,1267010.5787472676,2027.1836088587543,0.00020881918315990362,9707841.866742842,0.13051413446358215,0.40198883,0.0051159806671596305,9707841866.742842,1000,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new3,4957428.205672574,1246776.9747067015,1466.3458160842122,0.00023629123937586417,6205671.52619536,0.2009092762070649,0.48333538,0.006053018754731214,8067372984.053968,1300,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new4,9676575.482496824,1024389.0506725856,1172.0261007871086,0.00010951328216531669,10702136.559270198,0.09571818159853877,0.25952023,0.0026703661446750896,17123418494.832315,1600,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new5,14240093.78076721,1326121.2093342645,3096.9518281127307,0.00019891385307608584,15569311.941929588,0.08517532529892335,0.22945751,0.0030564701995177187,18683174330.315506,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new6,8097926.862661457,1215279.4379756267,1753.6104322766598,0.00018825743202531347,9314959.91106936,0.13046534280104188,0.4355607,0.005316912385343178,11177951893.283232,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new7,5312393.003262716,1412236.4806899205,2202.362561121713,0.00032739967511795435,6726831.846513758,0.2099408031764351,0.35776564,0.005075054655516063,8072198215.81651,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new8,7417901.915535354,1263291.5886095685,1875.689702632929,0.0002160169014847839,8683069.193847554,0.14548906157567904,0.45153052,0.005729614133993227,10419683032.617065,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new9,7257562.293051494,1235701.1833932914,1737.025261110429,0.00020447618110930234,8495000.501705896,0.14546216720589342,0.4041722,0.005016658951255092,10194000602.047075,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new10,8157454.3879792625,1347114.9484499595,2384.8756324637075,0.0002508559081349064,9506954.212061686,0.14169784753363435,0.31940383,0.004321946978371549,11408345054.474024,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new11,6466770.805146507,1440147.023881529,2575.6343719188103,0.00032563834635393376,7909493.463399956,0.18207828738282703,0.40825713,0.0059057528699836105,9491392156.079947,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new12,9932145.388458304,1027435.5208068413,1199.6849404425975,0.00010945250934744651,10960780.594205588,0.09373744068465294,0.33141217,0.0034202487072868162,13152936713.046705,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new13,5214542.376323553,1419216.736055922,2214.8875957057126,0.00033376978205671044,6635973.99997518,0.21386713330420376,0.42460322,0.0060529442617253395,7963168799.970217,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new14,16299999.636623945,1123690.5695768937,2067.2499558941167,0.00011863185638244564,17425757.45615673,0.06448446056959665,0.360698,0.004071225437812891,20910908947.388077,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new15,5086417.551079074,1286839.3126555071,1632.3256864900286,0.00025605553884745514,6374889.189421071,0.2018606558355519,0.43818122,0.005663863070598312,7649867027.3052845,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new16,7417311.221276021,1508100.165558514,3168.655539319499,0.00035488907802601094,8928580.042373855,0.168907055590169,0.28775883,0.004359066616031565,10714296050.848625,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new17,5305444.836703763,1240928.1998795378,1495.7629475425238,0.00022843508221326845,6547868.799530843,0.1895163507198633,0.50773376,0.006328741553277268,7857442559.437012,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new18,4680621.4202091135,1227387.8666637172,1360.0701463989237,0.0002301548717349024,5909369.35701923,0.20770200549502105,0.5307901,0.0065439398035154655,7091243228.423076,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new19,10067115.223617261,1294384.724454647,2376.4628751227347,0.00020912431543460328,11363876.410947032,0.11390344963693393,0.3752719,0.004879148913831923,13636651693.136438,1200,0.2,0.1,0.1752646377390957,0.6987082362174988,0.1
new0,16729582.035548972,2620923.787722808,14995.53957940898,0.0007743429564996907,19365501.36285119,0.13533983647593661,0.54768103,0.014418389637392722,23238601635.42143,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new1,14563575.390452923,3073541.582611725,21711.37616829913,0.0012294913195213327,17658828.349232946,0.17405127462747164,0.41972306,0.012957958688796494,26488242523.84942,1500,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new2,17706306.22956787,2824925.0117962374,19641.19840809126,0.0009557355029891362,20550872.4397722,0.13746010151516228,0.40198883,0.011406583330041836,20550872439.7722,1000,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new3,11775954.058412557,2946861.838668857,16265.668734848106,0.0011035741041404096,14739081.565816263,0.19993524192873663,0.48333538,0.014306816968015041,19160806035.561142,1300,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new4,18349710.08503056,2452342.163300076,13259.030111559608,0.0006369844742745497,20815311.278442197,0.11781434015065123,0.25952023,0.006392738660898541,33304498045.507515,1600,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new5,24631618.864187535,2843690.09324779,26255.609952061688,0.0009546951369885621,27501564.567387387,0.103401029649781,0.22945751,0.00655419275817102,33001877480.864864,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new6,17287582.467699043,2743559.7066734456,17653.611666110293,0.0008805322700929378,20048795.7860386,0.1368441145270172,0.4355607,0.012003220106019024,24058554943.24632,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new7,12401223.728951978,3206060.594842399,21866.747683915193,0.0013991001548267021,15629151.071478292,0.20513338057709057,0.35776564,0.011521393881407646,18754981285.773952,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new8,16108538.643787896,2852383.1388368993,18751.12495684166,0.0009879582776872473,18979672.90758164,0.1502862116078662,0.45153052,0.01293688242302928,22775607489.097965,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new9,15940054.28948299,2806207.7089004316,17705.807665600947,0.0009436068026024351,18763967.806049023,0.14955300168420574,0.4041722,0.011392549599473679,22516761367.258827,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new10,16664421.44706962,3005842.299166676,22546.982482552343,0.0011449347070436793,19692810.72871885,0.15263653018221165,0.31940383,0.009643639584946212,23631372874.46262,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
